county,precinct,office,district,party,candidate,votes
Curry,1,President,,DEM,"Lyndon H. LaRouche, Jr.",7
Curry,2,President,,DEM,"Lyndon H. LaRouche, Jr.",20
Curry,3,President,,DEM,"Lyndon H. LaRouche, Jr.",18
Curry,4,President,,DEM,"Lyndon H. LaRouche, Jr.",6
Curry,5,President,,DEM,"Lyndon H. LaRouche, Jr.",16
Curry,6,President,,DEM,"Lyndon H. LaRouche, Jr.",11
Curry,7,President,,DEM,"Lyndon H. LaRouche, Jr.",8
Curry,8,President,,DEM,"Lyndon H. LaRouche, Jr.",11
Curry,9,President,,DEM,"Lyndon H. LaRouche, Jr.",23
Curry,10,President,,DEM,"Lyndon H. LaRouche, Jr.",8
Curry,11,President,,DEM,"Lyndon H. LaRouche, Jr.",26
Curry,12,President,,DEM,"Lyndon H. LaRouche, Jr.",8
Curry,13,President,,DEM,"Lyndon H. LaRouche, Jr.",2
Curry,14,President,,DEM,"Lyndon H. LaRouche, Jr.",12
Curry,15,President,,DEM,"Lyndon H. LaRouche, Jr.",13
Curry,16,President,,DEM,"Lyndon H. LaRouche, Jr.",27
Curry,17,President,,DEM,"Lyndon H. LaRouche, Jr.",20
Curry,18,President,,DEM,"Lyndon H. LaRouche, Jr.",9
Curry,19,President,,DEM,"Lyndon H. LaRouche, Jr.",26
Curry,20,President,,DEM,"Lyndon H. LaRouche, Jr.",8
Curry,21,President,,DEM,"Lyndon H. LaRouche, Jr.",7
Curry,22,President,,DEM,"Lyndon H. LaRouche, Jr.",15
Curry,23,President,,DEM,"Lyndon H. LaRouche, Jr.",16
Curry,24,President,,DEM,"Lyndon H. LaRouche, Jr.",14
Curry,25,President,,DEM,"Lyndon H. LaRouche, Jr.",9
Curry,26,President,,DEM,"Lyndon H. LaRouche, Jr.",18
Curry,27,President,,DEM,"Lyndon H. LaRouche, Jr.",17
Curry,Total,President,,DEM,"Lyndon H. LaRouche, Jr.",375
Curry,1,President,,DEM,Al Gore,16
Curry,2,President,,DEM,Al Gore,44
Curry,3,President,,DEM,Al Gore,90
Curry,4,President,,DEM,Al Gore,47
Curry,5,President,,DEM,Al Gore,113
Curry,6,President,,DEM,Al Gore,93
Curry,7,President,,DEM,Al Gore,53
Curry,8,President,,DEM,Al Gore,65
Curry,9,President,,DEM,Al Gore,117
Curry,10,President,,DEM,Al Gore,103
Curry,11,President,,DEM,Al Gore,108
Curry,12,President,,DEM,Al Gore,44
Curry,13,President,,DEM,Al Gore,40
Curry,14,President,,DEM,Al Gore,58
Curry,15,President,,DEM,Al Gore,60
Curry,16,President,,DEM,Al Gore,158
Curry,17,President,,DEM,Al Gore,209
Curry,18,President,,DEM,Al Gore,42
Curry,19,President,,DEM,Al Gore,123
Curry,20,President,,DEM,Al Gore,70
Curry,21,President,,DEM,Al Gore,39
Curry,22,President,,DEM,Al Gore,101
Curry,23,President,,DEM,Al Gore,81
Curry,24,President,,DEM,Al Gore,82
Curry,25,President,,DEM,Al Gore,64
Curry,26,President,,DEM,Al Gore,91
Curry,27,President,,DEM,Al Gore,36
Curry,Total,President,,DEM,Al Gore,2147
Curry,1,President,,DEM,Write-in,2
