county,precinct,office,district,party,candidate,votes
Hood River,1,U.S. Senate,,DEM,Craig Hanson,17
Hood River,2,U.S. Senate,,DEM,Craig Hanson,10
Hood River,3,U.S. Senate,,DEM,Craig Hanson,3
Hood River,4,U.S. Senate,,DEM,Craig Hanson,12
Hood River,5,U.S. Senate,,DEM,Craig Hanson,11
Hood River,6,U.S. Senate,,DEM,Craig Hanson,11
Hood River,7,U.S. Senate,,DEM,Craig Hanson,15
Hood River,8,U.S. Senate,,DEM,Craig Hanson,5
Hood River,9,U.S. Senate,,DEM,Craig Hanson,4
Hood River,10,U.S. Senate,,DEM,Craig Hanson,13
Hood River,11,U.S. Senate,,DEM,Craig Hanson,11
Hood River,12,U.S. Senate,,DEM,Craig Hanson,13
Hood River,13,U.S. Senate,,DEM,Craig Hanson,26
Hood River,Total,U.S. Senate,,DEM,Craig Hanson,151
Hood River,1,U.S. Senate,,DEM,Greg Haven,16
Hood River,2,U.S. Senate,,DEM,Greg Haven,12
Hood River,3,U.S. Senate,,DEM,Greg Haven,1
Hood River,4,U.S. Senate,,DEM,Greg Haven,5
Hood River,5,U.S. Senate,,DEM,Greg Haven,12
Hood River,6,U.S. Senate,,DEM,Greg Haven,6
Hood River,7,U.S. Senate,,DEM,Greg Haven,8
Hood River,8,U.S. Senate,,DEM,Greg Haven,4
Hood River,9,U.S. Senate,,DEM,Greg Haven,4
Hood River,10,U.S. Senate,,DEM,Greg Haven,8
Hood River,11,U.S. Senate,,DEM,Greg Haven,11
Hood River,12,U.S. Senate,,DEM,Greg Haven,6
Hood River,13,U.S. Senate,,DEM,Greg Haven,4
Hood River,Total,U.S. Senate,,DEM,Greg Haven,97
Hood River,1,U.S. Senate,,DEM,Bill Bradbury,166
Hood River,2,U.S. Senate,,DEM,Bill Bradbury,215
Hood River,3,U.S. Senate,,DEM,Bill Bradbury,90
Hood River,4,U.S. Senate,,DEM,Bill Bradbury,238
Hood River,5,U.S. Senate,,DEM,Bill Bradbury,109
Hood River,6,U.S. Senate,,DEM,Bill Bradbury,107
Hood River,7,U.S. Senate,,DEM,Bill Bradbury,92
Hood River,8,U.S. Senate,,DEM,Bill Bradbury,73
Hood River,9,U.S. Senate,,DEM,Bill Bradbury,26
Hood River,10,U.S. Senate,,DEM,Bill Bradbury,115
Hood River,11,U.S. Senate,,DEM,Bill Bradbury,139
Hood River,12,U.S. Senate,,DEM,Bill Bradbury,75
Hood River,13,U.S. Senate,,DEM,Bill Bradbury,115
Hood River,Total,U.S. Senate,,DEM,Bill Bradbury,1560
Hood River,1,U.S. Senate,,DEM,Write-in,1
