County,precinct,office,district,party,candidate,votes
Lincoln,32 South Toledo,State House,5,PAC,Paul Aranas,14
Lincoln,01 Waldport,State House,5,CON,Douglas Patterson,318
Lincoln,01 Waldport,State House,5,DEM,Darlene Hooley,16
Lincoln,01 Waldport,State House,5,PAC,Paul Aranas,25
Lincoln,01 Waldport,State House,5,REP,Mike Erickson,643
Lincoln,01 Waldport,State House,5,,Write In,0
Lincoln,01 Waldport,State House,5,,Overvote,0
Lincoln,01 Waldport,State House,5,,Undervote,17
Lincoln,02 Alsea,State House,5,CON,Douglas Patterson,166
Lincoln,02 Alsea,State House,5,DEM,Darlene Hooley,9
Lincoln,02 Alsea,State House,5,PAC,Paul Aranas,10
Lincoln,02 Alsea,State House,5,REP,Mike Erickson,196
Lincoln,02 Alsea,State House,5,,Write In,0
Lincoln,02 Alsea,State House,5,,Overvote,1
Lincoln,02 Alsea,State House,5,,Undervote,7
Lincoln,03 Seaview,State House,5,CON,Douglas Patterson,179
Lincoln,03 Seaview,State House,5,DEM,Darlene Hooley,16
Lincoln,03 Seaview,State House,5,PAC,Paul Aranas,18
Lincoln,03 Seaview,State House,5,REP,Mike Erickson,287
Lincoln,03 Seaview,State House,5,,Write In,0
Lincoln,03 Seaview,State House,5,,Overvote,0
Lincoln,03 Seaview,State House,5,,Undervote,19
Lincoln,04 Tidewater,State House,5,CON,Douglas Patterson,153
Lincoln,04 Tidewater,State House,5,DEM,Darlene Hooley,7
Lincoln,04 Tidewater,State House,5,PAC,Paul Aranas,8
Lincoln,04 Tidewater,State House,5,REP,Mike Erickson,132
Lincoln,04 Tidewater,State House,5,,Write In,0
Lincoln,04 Tidewater,State House,5,,Overvote,0
Lincoln,04 Tidewater,State House,5,,Undervote,9
Lincoln,05 Yachats,State House,5,CON,Douglas Patterson,180
Lincoln,05 Yachats,State House,5,DEM,Darlene Hooley,5
Lincoln,05 Yachats,State House,5,PAC,Paul Aranas,31
Lincoln,05 Yachats,State House,5,REP,Mike Erickson,450
Lincoln,05 Yachats,State House,5,,Write In,1
Lincoln,05 Yachats,State House,5,,Overvote,1
Lincoln,05 Yachats,State House,5,,Undervote,15
Lincoln,06 Bayview,State House,5,CON,Douglas Patterson,246
Lincoln,06 Bayview,State House,5,DEM,Darlene Hooley,17
Lincoln,06 Bayview,State House,5,PAC,Paul Aranas,22
Lincoln,06 Bayview,State House,5,REP,Mike Erickson,467
Lincoln,06 Bayview,State House,5,,Write In,0
Lincoln,06 Bayview,State House,5,,Overvote,0
Lincoln,06 Bayview,State House,5,,Undervote,14
Lincoln,07 Seal Rock,State House,5,CON,Douglas Patterson,251
Lincoln,07 Seal Rock,State House,5,DEM,Darlene Hooley,7
Lincoln,07 Seal Rock,State House,5,PAC,Paul Aranas,19
Lincoln,07 Seal Rock,State House,5,REP,Mike Erickson,488
Lincoln,07 Seal Rock,State House,5,,Write In,0
Lincoln,07 Seal Rock,State House,5,,Overvote,0
Lincoln,07 Seal Rock,State House,5,,Undervote,7
Lincoln,08 South Beach,State House,5,CON,Douglas Patterson,214
Lincoln,08 South Beach,State House,5,DEM,Darlene Hooley,17
Lincoln,08 South Beach,State House,5,PAC,Paul Aranas,14
Lincoln,08 South Beach,State House,5,REP,Mike Erickson,401
Lincoln,08 South Beach,State House,5,,Write In,0
Lincoln,08 South Beach,State House,5,,Overvote,0
Lincoln,08 South Beach,State House,5,,Undervote,9
Lincoln,09 Nye Creek,State House,5,CON,Douglas Patterson,183
Lincoln,09 Nye Creek,State House,5,DEM,Darlene Hooley,14
Lincoln,09 Nye Creek,State House,5,PAC,Paul Aranas,37
Lincoln,09 Nye Creek,State House,5,REP,Mike Erickson,446
Lincoln,09 Nye Creek,State House,5,,Write In,0
Lincoln,09 Nye Creek,State House,5,,Overvote,1
Lincoln,09 Nye Creek,State House,5,,Undervote,8
Lincoln,10 Newport Bay,State House,5,CON,Douglas Patterson,116
Lincoln,10 Newport Bay,State House,5,DEM,Darlene Hooley,3
Lincoln,10 Newport Bay,State House,5,PAC,Paul Aranas,12
Lincoln,10 Newport Bay,State House,5,REP,Mike Erickson,307
Lincoln,10 Newport Bay,State House,5,,Write In,0
Lincoln,10 Newport Bay,State House,5,,Overvote,0
Lincoln,10 Newport Bay,State House,5,,Undervote,11
Lincoln,11 Oceanview,State House,5,CON,Douglas Patterson,222
Lincoln,11 Oceanview,State House,5,DEM,Darlene Hooley,9
Lincoln,11 Oceanview,State House,5,PAC,Paul Aranas,12
Lincoln,11 Oceanview,State House,5,REP,Mike Erickson,376
Lincoln,11 Oceanview,State House,5,,Write In,1
Lincoln,11 Oceanview,State House,5,,Overvote,0
Lincoln,11 Oceanview,State House,5,,Undervote,11
Lincoln,12 Yaquina,State House,5,CON,Douglas Patterson,317
Lincoln,12 Yaquina,State House,5,DEM,Darlene Hooley,18
Lincoln,12 Yaquina,State House,5,PAC,Paul Aranas,15
Lincoln,12 Yaquina,State House,5,REP,Mike Erickson,501
Lincoln,12 Yaquina,State House,5,,Write In,0
Lincoln,12 Yaquina,State House,5,,Overvote,1
Lincoln,12 Yaquina,State House,5,,Undervote,18
Lincoln,13 Pacific,State House,5,CON,Douglas Patterson,341
Lincoln,13 Pacific,State House,5,DEM,Darlene Hooley,14
Lincoln,13 Pacific,State House,5,PAC,Paul Aranas,17
Lincoln,13 Pacific,State House,5,REP,Mike Erickson,529
Lincoln,13 Pacific,State House,5,,Write In,2
Lincoln,13 Pacific,State House,5,,Overvote,0
Lincoln,13 Pacific,State House,5,,Undervote,16
Lincoln,14 Agate Beach,State House,5,CON,Douglas Patterson,278
Lincoln,14 Agate Beach,State House,5,DEM,Darlene Hooley,6
Lincoln,14 Agate Beach,State House,5,PAC,Paul Aranas,18
Lincoln,14 Agate Beach,State House,5,REP,Mike Erickson,457
Lincoln,14 Agate Beach,State House,5,,Write In,0
Lincoln,14 Agate Beach,State House,5,,Overvote,1
Lincoln,14 Agate Beach,State House,5,,Undervote,19
Lincoln,15 Otter Rock,State House,5,CON,Douglas Patterson,66
Lincoln,15 Otter Rock,State House,5,DEM,Darlene Hooley,1
Lincoln,15 Otter Rock,State House,5,PAC,Paul Aranas,7
Lincoln,15 Otter Rock,State House,5,REP,Mike Erickson,135
Lincoln,15 Otter Rock,State House,5,,Write In,0
Lincoln,15 Otter Rock,State House,5,,Overvote,0
Lincoln,15 Otter Rock,State House,5,,Undervote,2
Lincoln,16 Depoe Bay,State House,5,CON,Douglas Patterson,212
Lincoln,16 Depoe Bay,State House,5,DEM,Darlene Hooley,10
Lincoln,16 Depoe Bay,State House,5,PAC,Paul Aranas,6
Lincoln,16 Depoe Bay,State House,5,REP,Mike Erickson,396
Lincoln,16 Depoe Bay,State House,5,,Write In,1
Lincoln,16 Depoe Bay,State House,5,,Overvote,0
Lincoln,16 Depoe Bay,State House,5,,Undervote,8
Lincoln,17 Fogarty Ck,State House,5,CON,Douglas Patterson,309
Lincoln,17 Fogarty Ck,State House,5,DEM,Darlene Hooley,14
Lincoln,17 Fogarty Ck,State House,5,PAC,Paul Aranas,15
Lincoln,17 Fogarty Ck,State House,5,REP,Mike Erickson,433
Lincoln,17 Fogarty Ck,State House,5,,Write In,1
Lincoln,17 Fogarty Ck,State House,5,,Overvote,0
Lincoln,17 Fogarty Ck,State House,5,,Undervote,15
Lincoln,18 Kern,State House,5,CON,Douglas Patterson,257
Lincoln,18 Kern,State House,5,DEM,Darlene Hooley,8
Lincoln,18 Kern,State House,5,PAC,Paul Aranas,15
Lincoln,18 Kern,State House,5,REP,Mike Erickson,426
Lincoln,18 Kern,State House,5,,Write In,0
Lincoln,18 Kern,State House,5,,Overvote,1
Lincoln,18 Kern,State House,5,,Undervote,13
Lincoln,19 Schooner Ck,State House,5,CON,Douglas Patterson,280
Lincoln,19 Schooner Ck,State House,5,DEM,Darlene Hooley,18
Lincoln,19 Schooner Ck,State House,5,PAC,Paul Aranas,24
Lincoln,19 Schooner Ck,State House,5,REP,Mike Erickson,480
Lincoln,19 Schooner Ck,State House,5,,Write In,1
Lincoln,19 Schooner Ck,State House,5,,Overvote,1
Lincoln,19 Schooner Ck,State House,5,,Undervote,14
Lincoln,20 Delake,State House,5,CON,Douglas Patterson,307
Lincoln,20 Delake,State House,5,DEM,Darlene Hooley,18
Lincoln,20 Delake,State House,5,PAC,Paul Aranas,21
Lincoln,20 Delake,State House,5,REP,Mike Erickson,594
Lincoln,20 Delake,State House,5,,Write In,2
Lincoln,20 Delake,State House,5,,Overvote,1
Lincoln,20 Delake,State House,5,,Undervote,16
