county,precinct,office,district,candidate,party,votes
sherman,Rufus #1,President,,Ralph Nader,IND,3
sherman,Wasco #2,President,,Ralph Nader,IND,2
sherman,Moro #3,President,,Ralph Nader,IND,2
sherman,Grass Valley #4,President,,Ralph Nader,IND,1
sherman,Kent #5,President,,Ralph Nader,IND,0
sherman,Rufus #1,President,,Cynthia McKinney,GRN,1
sherman,Wasco #2,President,,Cynthia McKinney,GRN,0
sherman,Moro #3,President,,Cynthia McKinney,GRN,0
sherman,Grass Valley #4,President,,Cynthia McKinney,GRN,0
sherman,Kent #5,President,,Cynthia McKinney,GRN,0
sherman,Rufus #1,President,,John McCain,REP,74
sherman,Wasco #2,President,,John McCain,REP,227
sherman,Moro #3,President,,John McCain,REP,172
sherman,Grass Valley #4,President,,John McCain,REP,113
sherman,Kent #5,President,,John McCain,REP,48
sherman,Rufus #1,President,,Bob Barr,LIB,1
sherman,Wasco #2,President,,Bob Barr,LIB,2
sherman,Moro #3,President,,Bob Barr,LIB,1
sherman,Grass Valley #4,President,,Bob Barr,LIB,0
sherman,Kent #5,President,,Bob Barr,LIB,1
sherman,Rufus #1,President,,Chuck Baldwin,CON,0
sherman,Wasco #2,President,,Chuck Baldwin,CON,2
sherman,Moro #3,President,,Chuck Baldwin,CON,0
sherman,Grass Valley #4,President,,Chuck Baldwin,CON,3
sherman,Kent #5,President,,Chuck Baldwin,CON,1
sherman,Rufus #1,President,,Barack Obama,DEM,76
sherman,Wasco #2,President,,Barack Obama,DEM,127
sherman,Moro #3,President,,Barack Obama,DEM,119
sherman,Grass Valley #4,President,,Barack Obama,DEM,48
sherman,Kent #5,President,,Barack Obama,DEM,15
sherman,Rufus #1,President,,Write-ins,,0
sherman,Wasco #2,President,,Write-ins,,4
sherman,Moro #3,President,,Write-ins,,1
sherman,Grass Valley #4,President,,Write-ins,,1
sherman,Kent #5,President,,Write-ins,,1
sherman,Rufus #1,President,,Over Votes,,1
sherman,Wasco #2,President,,Over Votes,,0
sherman,Moro #3,President,,Over Votes,,0
sherman,Grass Valley #4,President,,Over Votes,,0
sherman,Kent #5,President,,Over Votes,,0
sherman,Rufus #1,President,,Under Votes,,6
sherman,Wasco #2,President,,Under Votes,,2
sherman,Moro #3,President,,Under Votes,,9
sherman,Grass Valley #4,President,,Under Votes,,3
sherman,Kent #5,President,,Under Votes,,0
sherman,Rufus #1,U.S. Senate,,Gordon H. Smith,REP,91
sherman,Wasco #2,U.S. Senate,,Gordon H. Smith,REP,231
sherman,Moro #3,U.S. Senate,,Gordon H. Smith,REP,192
sherman,Grass Valley #4,U.S. Senate,,Gordon H. Smith,REP,115
sherman,Kent #5,U.S. Senate,,Gordon H. Smith,REP,56
sherman,Rufus #1,U.S. Senate,,Jeff Merkley,DEM,58
sherman,Wasco #2,U.S. Senate,,Jeff Merkley,DEM,95
sherman,Moro #3,U.S. Senate,,Jeff Merkley,DEM,77
sherman,Grass Valley #4,U.S. Senate,,Jeff Merkley,DEM,39
sherman,Kent #5,U.S. Senate,,Jeff Merkley,DEM,8
sherman,Rufus #1,U.S. Senate,,Dave Brownlow,CON,8
sherman,Wasco #2,U.S. Senate,,Dave Brownlow,CON,20
sherman,Moro #3,U.S. Senate,,Dave Brownlow,CON,15
sherman,Grass Valley #4,U.S. Senate,,Dave Brownlow,CON,9
sherman,Kent #5,U.S. Senate,,Dave Brownlow,CON,2
sherman,Rufus #1,U.S. Senate,,Write-ins,,1
sherman,Wasco #2,U.S. Senate,,Write-ins,,3
sherman,Moro #3,U.S. Senate,,Write-ins,,2
sherman,Grass Valley #4,U.S. Senate,,Write-ins,,1
sherman,Kent #5,U.S. Senate,,Write-ins,,0
sherman,Rufus #1,U.S. Senate,,Over Votes,,0
sherman,Wasco #2,U.S. Senate,,Over Votes,,0
sherman,Moro #3,U.S. Senate,,Over Votes,,0
sherman,Grass Valley #4,U.S. Senate,,Over Votes,,0
sherman,Kent #5,U.S. Senate,,Over Votes,,0
sherman,Rufus #1,U.S. Senate,,Under Votes,,4
sherman,Wasco #2,U.S. Senate,,Under Votes,,17
sherman,Moro #3,U.S. Senate,,Under Votes,,18
sherman,Grass Valley #4,U.S. Senate,,Under Votes,,5
sherman,Kent #5,U.S. Senate,,Under Votes,,0
sherman,Rufus #1,U.S. House,2,Richard D. Hake,CON,2
sherman,Wasco #2,U.S. House,2,Richard D. Hake,CON,7
sherman,Moro #3,U.S. House,2,Richard D. Hake,CON,1
sherman,Grass Valley #4,U.S. House,2,Richard D. Hake,CON,3
sherman,Kent #5,U.S. House,2,Richard D. Hake,CON,0
sherman,Rufus #1,U.S. House,2,Tristin Mock,PGP,3
sherman,Wasco #2,U.S. House,2,Tristin Mock,PGP,3
sherman,Moro #3,U.S. House,2,Tristin Mock,PGP,2
sherman,Grass Valley #4,U.S. House,2,Tristin Mock,PGP,1
sherman,Kent #5,U.S. House,2,Tristin Mock,PGP,0
sherman,Rufus #1,U.S. House,2,Greg Walden,REP,114
