county,office,district,party,candidate,precinct,votes
Sherman,President,,D,Barack Obama,Rufus #1,22
Sherman,President,,D,Barack Obama,Wasco #2,40
Sherman,President,,D,Barack Obama,Moro #3,34
Sherman,President,,D,Barack Obama,Grass Valley #4,15
Sherman,President,,D,Barack Obama,Kent #5,1
Sherman,President,,D,Write-ins,Rufus #1,1
Sherman,President,,D,Write-ins,Wasco #2,13
Sherman,President,,D,Write-ins,Moro #3,4
Sherman,President,,D,Write-ins,Grass Valley #4,8
Sherman,President,,D,Write-ins,Kent #5,1
Sherman,President,,D,Over Votes,Rufus #1,0
Sherman,President,,D,Over Votes,Wasco #2,0
Sherman,President,,D,Over Votes,Moro #3,0
Sherman,President,,D,Over Votes,Grass Valley #4,0
Sherman,President,,D,Over Votes,Kent #5,0
Sherman,President,,D,Under Votes,Rufus #1,4
Sherman,President,,D,Under Votes,Wasco #2,9
Sherman,President,,D,Under Votes,Moro #3,7
Sherman,President,,D,Under Votes,Grass Valley #4,4
Sherman,President,,D,Under Votes,Kent #5,2
Sherman,U.S. House,2,D,John Sweeney,Rufus #1,7
Sherman,U.S. House,2,D,John Sweeney,Wasco #2,16
Sherman,U.S. House,2,D,John Sweeney,Moro #3,8
Sherman,U.S. House,2,D,John Sweeney,Grass Valley #4,5
Sherman,U.S. House,2,D,John Sweeney,Kent #5,1
Sherman,U.S. House,2,D,Joyce B. Segers,Rufus #1,14
Sherman,U.S. House,2,D,Joyce B. Segers,Wasco #2,24
Sherman,U.S. House,2,D,Joyce B. Segers,Moro #3,23
Sherman,U.S. House,2,D,Joyce B. Segers,Grass Valley #4,10
Sherman,U.S. House,2,D,Joyce B. Segers,Kent #5,1
Sherman,U.S. House,2,D,Write-ins,Rufus #1,0
Sherman,U.S. House,2,D,Write-ins,Wasco #2,1
Sherman,U.S. House,2,D,Write-ins,Moro #3,2
Sherman,U.S. House,2,D,Write-ins,Grass Valley #4,2
Sherman,U.S. House,2,D,Write-ins,Kent #5,1
Sherman,U.S. House,2,D,Over Votes,Rufus #1,0
Sherman,U.S. House,2,D,Over Votes,Wasco #2,0
Sherman,U.S. House,2,D,Over Votes,Moro #3,0
Sherman,U.S. House,2,D,Over Votes,Grass Valley #4,0
Sherman,U.S. House,2,D,Over Votes,Kent #5,0
Sherman,U.S. House,2,D,Under Votes,Rufus #1,6
Sherman,U.S. House,2,D,Under Votes,Wasco #2,21
Sherman,U.S. House,2,D,Under Votes,Moro #3,12
Sherman,U.S. House,2,D,Under Votes,Grass Valley #4,10
Sherman,U.S. House,2,D,Under Votes,Kent #5,1
Sherman,Secretary of State,,D,Kate Brown,Rufus #1,21
Sherman,Secretary of State,,D,Kate Brown,Wasco #2,41
Sherman,Secretary of State,,D,Kate Brown,Moro #3,32
Sherman,Secretary of State,,D,Kate Brown,Grass Valley #4,14
Sherman,Secretary of State,,D,Kate Brown,Kent #5,1
Sherman,Secretary of State,,D,Paul Damian Wells,Rufus #1,2
Sherman,Secretary of State,,D,Paul Damian Wells,Wasco #2,9
Sherman,Secretary of State,,D,Paul Damian Wells,Moro #3,5
Sherman,Secretary of State,,D,Paul Damian Wells,Grass Valley #4,5
Sherman,Secretary of State,,D,Paul Damian Wells,Kent #5,2
Sherman,Secretary of State,,D,Write-ins,Rufus #1,0
Sherman,Secretary of State,,D,Write-ins,Wasco #2,1
Sherman,Secretary of State,,D,Write-ins,Moro #3,0
