county,precinct,office,district,party,candidate,votes
Harney,Burns #21,President,,DEM,Bernie Sanders,124
Harney,Hines #25,President,,DEM,Bernie Sanders,97
Harney,Rural Harney #26,President,,DEM,Bernie Sanders,131
Harney,Burns #21,President,,DEM,Hillary Clinton,114
Harney,Hines #25,President,,DEM,Hillary Clinton,61
Harney,Rural Harney #26,President,,DEM,Hillary Clinton,61
Harney,Burns #21,President,,DEM,Write-ins,46
Harney,Hines #25,President,,DEM,Write-ins,22
Harney,Rural Harney #26,President,,DEM,Write-ins,23
Harney,Burns #21,President,,DEM,Over Votes,1
Harney,Hines #25,President,,DEM,Over Votes,0
Harney,Rural Harney #26,President,,DEM,Over Votes,0
Harney,Burns #21,President,,DEM,Under Votes,19
Harney,Hines #25,President,,DEM,Under Votes,20
Harney,Rural Harney #26,President,,DEM,Under Votes,17
Harney,Burns #21,U.S. Senate,,DEM,Ron Wyden,225
Harney,Hines #25,U.S. Senate,,DEM,Ron Wyden,150
Harney,Rural Harney #26,U.S. Senate,,DEM,Ron Wyden,167
Harney,Burns #21,U.S. Senate,,DEM,Kevin H Stine,36
Harney,Hines #25,U.S. Senate,,DEM,Kevin H Stine,16
Harney,Rural Harney #26,U.S. Senate,,DEM,Kevin H Stine,20
Harney,Burns #21,U.S. Senate,,DEM,Paul B Weaver,15
Harney,Hines #25,U.S. Senate,,DEM,Paul B Weaver,15
Harney,Rural Harney #26,U.S. Senate,,DEM,Paul B Weaver,19
Harney,Burns #21,U.S. Senate,,DEM,Write-ins,9
Harney,Hines #25,U.S. Senate,,DEM,Write-ins,1
Harney,Rural Harney #26,U.S. Senate,,DEM,Write-ins,3
Harney,Burns #21,U.S. Senate,,DEM,Over Votes,0
Harney,Hines #25,U.S. Senate,,DEM,Over Votes,0
Harney,Rural Harney #26,U.S. Senate,,DEM,Over Votes,2
Harney,Burns #21,U.S. Senate,,DEM,Under Votes,19
Harney,Hines #25,U.S. Senate,,DEM,Under Votes,18
Harney,Rural Harney #26,U.S. Senate,,DEM,Under Votes,21
Harney,Burns #21,U.S. House,1,DEM,James (Jim) Clary,178
Harney,Hines #25,U.S. House,1,DEM,James (Jim) Clary,97
Harney,Rural Harney #26,U.S. House,1,DEM,James (Jim) Clary,117
Harney,Burns #21,U.S. House,1,DEM,Write-ins,16
Harney,Hines #25,U.S. House,1,DEM,Write-ins,8
Harney,Rural Harney #26,U.S. House,1,DEM,Write-ins,12
Harney,Burns #21,U.S. House,1,DEM,Over Votes,0
