county,precinct,office,district,party,candidate,votes
Harney,21,President,,REP,Donald J Trump,877
Harney,21,President,,DEM,Hillary Clinton,296
Harney,21,President,,LBT,Gary Johnson,97
Harney,21,President,,,Write-ins,36
Harney,21,President,,GRE,Jill Stein,26
Harney,21,President,,,Total,1332
Harney,21,President,,,Over Votes,0
Harney,21,President,,,Under Votes,25
Harney,21,U.S. Senate,,DEM,Ron Wyden,612
Harney,21,U.S. Senate,,REP,Mark Callahan,562
Harney,21,U.S. Senate,,IND,Steven C Reynolds,62
Harney,21,U.S. Senate,,WFP,Shanti S Lewallen,43
Harney,21,U.S. Senate,,PAC,Eric Navickas,16
Harney,21,U.S. Senate,,LBT,Jim Lindsay,16
Harney,21,U.S. Senate,,,Write-ins,0
Harney,21,U.S. Senate,,,Total,1311
Harney,21,U.S. House,2,REP,Greg Walden,995
Harney,21,U.S. House,2,DEM,Jim Crary,276
Harney,21,U.S. House,2,,Write-ins,4
Harney,21,U.S. House,2,,Total,1275
Harney,21,Governor,,REP,Bud Pierce,810
Harney,21,Governor,,DEM,Kate Brown,380
Harney,21,Governor,,IPO,Cliff Thomason,48
Harney,21,Governor,,LBT,James Foster,41
Harney,21,Governor,,CON,Aaron Donald Auer,30
Harney,21,Governor,,,Write-ins,1
Harney,21,Governor,,,Total,1310
Harney,21,Secretary of State,,REP,Dennis Richardson,809
Harney,21,Secretary of State,,DEM,Brad Avakian,287
Harney,21,Secretary of State,,IPO,Paul Damian Wells,62
Harney,21,Secretary of State,,LBT,Sharon L Durbin,48
Harney,21,Secretary of State,,CON,Michael Marsh,33
Harney,21,Secretary of State,,PAC,Alan Zundel,18
Harney,21,Secretary of State,,,Write-ins,0
Harney,21,Secretary of State,,,Total,1257
Harney,21,State Treasurer,,REP,Jeff Gudman,718
Harney,21,State Treasurer,,DEM,Tobias Read,315
Harney,21,State Treasurer,,IPO,Chris Telfer,144
Harney,21,State Treasurer,,PAC,Chris Henry,54
Harney,21,State Treasurer,,,Write-ins,0
Harney,21,State Treasurer,,,Total,1231
Harney,21,Attorney General,,REP,Daniel Zene Crowe,757
Harney,21,Attorney General,,DEM,Ellen Rosenblum,400
Harney,21,Attorney General,,LBT,Lars D H Hedbor,55
Harney,21,Attorney General,,,Write-ins,3
Harney,21,Attorney General,,,Total,1215
Harney,21,State Senate,30,REP,Ted Ferrioli,898
Harney,21,State Senate,30,DEM,W Mark Stringer,317
Harney,21,State Senate,30,,Write-ins,3
Harney,21,State Senate,30,,Total,1218
Harney,21,State House,60,REP,Cliff Bentz,1074
Harney,21,State House,60,,Write-ins,20
Harney,21,State House,60,,Total,1094
Harney,25,President,,REP,Donald J Trump,546
Harney,25,President,,DEM,Hillary Clinton,174
Harney,25,President,,LBT,Gary Johnson,57
Harney,25,President,,,Write-ins,36
Harney,25,President,,GRE,Jill Stein,5
Harney,25,President,,,Total,818
Harney,25,U.S. Senate,,DEM,Ron Wyden,371
Harney,25,U.S. Senate,,REP,Mark Callahan,367
Harney,25,U.S. Senate,,IND,Steven C Reynolds,34
Harney,25,U.S. Senate,,WFP,Shanti S Lewallen,19
Harney,25,U.S. Senate,,PAC,Eric Navickas,2
Harney,25,U.S. Senate,,LBT,Jim Lindsay,14
Harney,25,U.S. Senate,,,Write-ins,0
Harney,25,U.S. Senate,,,Total,807
Harney,25,U.S. House,2,REP,Greg Walden,625
Harney,25,U.S. House,2,DEM,Jim Crary,169
Harney,25,U.S. House,2,,Write-ins,3
Harney,25,U.S. House,2,,Total,797
Harney,25,Governor,,REP,Bud Pierce,500
Harney,25,Governor,,DEM,Kate Brown,234
Harney,25,Governor,,IPO,Cliff Thomason,35
Harney,25,Governor,,LBT,James Foster,20
Harney,25,Governor,,CON,Aaron Donald Auer,13
Harney,25,Governor,,,Write-ins,4
Harney,25,Governor,,,Total,806
Harney,25,Secretary of State,,REP,Dennis Richardson,527
Harney,25,Secretary of State,,DEM,Brad Avakian,174
Harney,25,Secretary of State,,IPO,Paul Damian Wells,32
Harney,25,Secretary of State,,LBT,Sharon L Durbin,23
Harney,25,Secretary of State,,CON,Michael Marsh,16
Harney,25,Secretary of State,,PAC,Alan Zundel,7
Harney,25,Secretary of State,,,Write-ins,0
Harney,25,Secretary of State,,,Total,779
Harney,25,State Treasurer,,REP,Jeff Gudman,469
Harney,25,State Treasurer,,DEM,Tobias Read,191
Harney,25,State Treasurer,,IPO,Chris Telfer,85
Harney,25,State Treasurer,,PAC,Chris Henry,16
Harney,25,State Treasurer,,,Write-ins,0
Harney,25,State Treasurer,,,Total,761
Harney,25,Attorney General,,REP,Daniel Zene Crowe,494
Harney,25,Attorney General,,DEM,Ellen Rosenblum,237
Harney,25,Attorney General,,LBT,Lars D H Hedbor,22
Harney,25,Attorney General,,,Write-ins,0
Harney,25,Attorney General,,,Total,753
Harney,25,State Senate,30,REP,Ted Ferrioli,582
Harney,25,State Senate,30,DEM,W Mark Stringer,190
Harney,25,State Senate,30,,Write-ins,1
Harney,25,State Senate,30,,Total,773
Harney,25,State House,60,REP,Cliff Bentz,666
Harney,25,State House,60,,Write-ins,8
Harney,25,State House,60,,Total,674
Harney,26,President,,REP,Donald J Trump,1489
Harney,26,President,,DEM,Hillary Clinton,213
Harney,26,President,,LBT,Gary Johnson,68
Harney,26,President,,,Write-ins,43
Harney,26,President,,GRE,Jill Stein,11
